Zip,Year,MedianValue
21013,2000,259365.99090234743
21013,2001,274204.12334519083
21013,2002,299152.3196477161
21013,2003,336760.7046053674
21013,2004,384111.8227485663
21013,2005,455377.0160609275
21013,2006,512238.7113769989
21013,2007,514980.84978666983
21013,2008,476660.0171236253
21013,2009,433337.01055633987
21013,2010,423333.26497162855
21013,2011,395706.14190140663
21013,2012,400517.53052060754
21013,2013,412445.60899138433
21013,2014,426181.9325862354
21013,2015,432031.6981077385
21013,2016,440721.2850617748
21013,2017,448780.094140982
21013,2018,461475.5598391092
21013,2019,468585.7713648147
21013,2020,479833.5390474277
21013,2021,547549.1695122921
21013,2022,587109.8376275226
21013,2023,604753.0307532393
21013,2024,626994.4825248951
21013,2025,639546.8138217287
21030,2000,198335.46012265753
21030,2001,211858.12411224842
21030,2002,231698.13673055376
21030,2003,255648.21445220307
21030,2004,294808.99877381476
21030,2005,349585.6603493637
21030,2006,390710.9149574037
21030,2007,388369.0320255452
21030,2008,378032.461285468
21030,2009,347289.64991207444
21030,2010,337604.9572315577
21030,2011,316899.0618486925
21030,2012,314450.2290730441
21030,2013,333589.9950556437
21030,2014,349432.21088835585
21030,2015,351460.4154302997
21030,2016,353625.66958300263
21030,2017,348821.2535527083
21030,2018,353759.3972386166
21030,2019,358002.08653876407
21030,2020,363537.23536054825
21030,2021,404685.5877581589
21030,2022,429972.84710271587
21030,2023,439895.67700680654
21030,2024,449839.30335322313
21030,2025,456914.9800466974
21051,2000,
21051,2001,
21051,2002,
21051,2003,
21051,2004,
21051,2005,
21051,2006,
21051,2007,
21051,2008,
21051,2009,
21051,2010,
21051,2011,
21051,2012,
21051,2013,
21051,2014,
21051,2015,
21051,2016,
21051,2017,
21051,2018,
21051,2019,
21051,2020,
21051,2021,
21051,2022,511865.6715204282
21051,2023,517511.0971536888
21051,2024,530628.4402811073
21051,2025,547390.9728528002
21052,2000,
21052,2001,
21052,2002,
21052,2003,
21052,2004,
21052,2005,
21052,2006,
21052,2007,
21052,2008,
21052,2009,
21052,2010,
21052,2011,
21052,2012,
21052,2013,
21052,2014,
21052,2015,
21052,2016,
21052,2017,
21052,2018,
21052,2019,
21052,2020,
21052,2021,
21052,2022,317297.6674027438
21052,2023,326072.5626625507
21052,2024,332101.75209125737
21052,2025,347097.74684489984
21053,2000,198449.73456824693
21053,2001,208285.67175682864
21053,2002,238904.24003717746
21053,2003,266995.1734802977
21053,2004,302758.06047785573
21053,2005,358948.211839975
21053,2006,412184.10754615575
21053,2007,419600.0508146613
