Zip,Date,MedianValue,Type
21013,2000-01-01,259365.99090234743,Historical
21013,2001-01-01,274204.12334519083,Historical
21013,2002-01-01,299152.3196477161,Historical
21013,2003-01-01,336760.7046053674,Historical
21013,2004-01-01,384111.8227485663,Historical
21013,2005-01-01,455377.0160609275,Historical
21013,2006-01-01,512238.7113769989,Historical
21013,2007-01-01,514980.84978666983,Historical
21013,2008-01-01,476660.0171236253,Historical
21013,2009-01-01,433337.01055633987,Historical
21013,2010-01-01,423333.26497162855,Historical
21013,2011-01-01,395706.14190140663,Historical
21013,2012-01-01,400517.53052060754,Historical
21013,2013-01-01,412445.60899138433,Historical
21013,2014-01-01,426181.9325862354,Historical
21013,2015-01-01,432031.6981077385,Historical
21013,2016-01-01,440721.2850617748,Historical
21013,2017-01-01,448780.094140982,Historical
21013,2018-01-01,461475.5598391092,Historical
21013,2019-01-01,468585.7713648147,Historical
21013,2020-01-01,479833.5390474277,Historical
21013,2021-01-01,547549.1695122921,Historical
21013,2022-01-01,587109.8376275226,Historical
21013,2023-01-01,604753.0307532393,Historical
21013,2024-01-01,626994.4825248951,Historical
21013,2025-01-01,639546.8138217287,Historical
21013,2026-12-31,603974.3204803253,Forecast
21013,2027-12-31,614477.1380671317,Forecast
21013,2028-12-31,625008.7304966418,Forecast
21013,2029-12-31,635511.5480834483,Forecast
21030,2000-01-01,198335.46012265753,Historical
21030,2001-01-01,211858.12411224842,Historical
21030,2002-01-01,231698.13673055376,Historical
21030,2003-01-01,255648.21445220307,Historical
21030,2004-01-01,294808.99877381476,Historical
21030,2005-01-01,349585.6603493637,Historical
21030,2006-01-01,390710.9149574037,Historical
21030,2007-01-01,388369.0320255452,Historical
21030,2008-01-01,378032.461285468,Historical
21030,2009-01-01,347289.64991207444,Historical
21030,2010-01-01,337604.9572315577,Historical
21030,2011-01-01,316899.0618486925,Historical
21030,2012-01-01,314450.2290730441,Historical
21030,2013-01-01,333589.9950556437,Historical
21030,2014-01-01,349432.21088835585,Historical
21030,2015-01-01,351460.4154302997,Historical
21030,2016-01-01,353625.66958300263,Historical
21030,2017-01-01,348821.2535527083,Historical
21030,2018-01-01,353759.3972386166,Historical
21030,2019-01-01,358002.08653876407,Historical
21030,2020-01-01,363537.23536054825,Historical
21030,2021-01-01,404685.5877581589,Historical
21030,2022-01-01,429972.84710271587,Historical
21030,2023-01-01,439895.67700680654,Historical
21030,2024-01-01,449839.30335322313,Historical
21030,2025-01-01,456914.9800466974,Historical
21030,2026-12-31,449046.6734709434,Forecast
21030,2027-12-31,456123.98258138995,Forecast
21030,2028-12-31,463220.68157981033,Forecast
21030,2029-12-31,470297.9906902569,Forecast
21051,2000-01-01,,Historical
21051,2001-01-01,,Historical
21051,2002-01-01,,Historical
21051,2003-01-01,,Historical
21051,2004-01-01,,Historical
21051,2005-01-01,,Historical
21051,2006-01-01,,Historical
21051,2007-01-01,,Historical
21051,2008-01-01,,Historical
21051,2009-01-01,,Historical
21051,2010-01-01,,Historical
21051,2011-01-01,,Historical
21051,2012-01-01,,Historical
21051,2013-01-01,,Historical
21051,2014-01-01,,Historical
21051,2015-01-01,,Historical
21051,2016-01-01,,Historical
21051,2017-01-01,,Historical
21051,2018-01-01,,Historical
21051,2019-01-01,,Historical
